subject
"costumi orientali, Figure in costumi orientali"
Tralci fitomorfi
I sette dei della fortuna
adorazione dei Re Magi
incredulità di san Tommaso
scena mitologica
san Girolamo
madonna con bambino
Sacra Famiglia
Adorazione dei Re Magi
"ritratto d'uomo, Ritratto di Giuseppe Garibaldi"
Stemma Francescano
P. D. Giambattista Comjno
Transito della Madonna
MOTIVI DECORATIVI VEGETALI
Mosè salvato dalle acque; Il ritrovamento di Mosè
trofeo di armi con elmo
"Fiori, Dalie"
Trinità e Angeli
morte di Adone
Sacra Famiglia
san Giuseppe e Gesù Bambino
adorazione dei re Magi
TRIONFO DELLA MORTE
San Francesco d'Assisi riceve le stimmate
contadina su asino
Ecce Homo
Ritratto di padre Francesco da Meda
PAESAGGIO
adorazione dei pastori
ritratto di Costante Rebucci
Clemente VIII Aldobrandini si reca alle Marmore
giovane donna
Angelo Custode
Personaggi: Isacco; Rebecca; giovane.
Ritratto di Cardinale
battaglia
Soggetti sacri: disputa di Gesù con i dottori nel tempio.
Personaggi: Madonna; Gesù Bambino; Sant'Anna; San Giuseppe; San Sebastiano; San Rocco.
Natura morta
Trinità
PAESAGGIO
Madonna Assunta con angeli
Madonna con Bambino e angeli
Personaggi: Madonna; Santa Teresa d'Avila; San Giuseppe; Gesu' Bambino. Attributi: (Santa Teresa) freccia; collana. Attributi: (San Giuseppe) verga fiorita.Abbigliamento religioso: abito carmelitano. Figure: angeli. Oggetti: spilla; candelabro; cartagloria; tovaglia d'altare; cuscino d'altare; cilicio; disciplina.
fiumi
Personaggi: Madonna; Gesu' Bambino; San Giuseppe. Figure: angeli.
Personaggi: Cristo alla colonna. Attributi: (Cristo alla colonna) colonna; corona di spine; sudario.
Martirio di San Sebastiano
Personaggi: Madonna; Gesù Bambino; San Giuseppe; SanGiovannino. Attributi: (San Giovannino) croce; pelleanimale.
Angeli musicanti
Santa Maria Maddalena portata in cielo dagli angeli
scena mitologica
Fiori
Bacco e arianna
FIORI
Sigismondo imperatore incorona a Chambery Amedeo VIII primo duca di Savoia
ritratto di Pietro Sitta
Dio Padre
CRISTO RISORTO CHE ABBRACCIA LA CROCE
Sant' Agostino
scena campestre
Sacro cuore di Gesù
GIARDINO
ritratto di Arturo Conti
Paesaggio lacustre
Animali
costumi orientali
Orazione di Cristo nell'orto di Getsemani
ritratto di Andrea Giovine
Ritratto d'uomo
annunciazione
Isacco sul letto benedice Giacobbe travestito con le vesti di Esau'
"ritratto d'uomo, Ritratto di Ferdinando duca d'Alba in corazza e Toson d'Oro"
volatili e animali con vegetazione orientaleggiante
volatili e animali con vegetazione orientaleggiante
volatili e animali con vegetazione orientaleggiante
volatili e animali con vegetazione orientaleggiante
PAESAGGIO CON PASTORI
ritratto di Filippo III
Gentiluomo
Natura morta con fiori
San Marco Evangelista
san Giuseppe e Gesù Bambino
"paesaggio, paesaggio sulla via di Camaldoli"
"Madonna con Bambino con San Francesco, San Girolamo, Santa Elisabetta e un devoto"
SPERANZA
busto di giovane
"annunciazione, Annunciazione"
"cane, Studio di cane"
"Presentazione di Gesù al Tempio, Presentazione di Gesù Bambino al tempio"
"ritratto d'uomo, Rolando Pallavicino"
Adorazione dei Magi
Il muratore
Ritorno dalla caccia
Corse di cavalli
Pastorella del Vesuvio
Personaggi: papa Clemente VII. Vesti ecclesiastiche: mozzetta; camauro. Oggetti: sedia; tappeto; mappa; tendaggio.
ALLEGORIA DELLA MUSICA
SAN FRANCESCO D'ASSISI IN PREGHIERA
"Kannon, Kannon dalle mille braccia"
"Paesaggio marino, Tramonto sul mare"
santi
san Matteo e l'angelo
Sant'Andrea condotto al martirio
Cristo morto
Incontro di San Nilo con l'imperatore Ottone III
decapitazione di San Bartolomeo
Annunciazione
Assunzione della madonna
Personaggi: Madonna; Gesù Bambino; San Giovannino; San Benedetto; San Bernardo; San Francesco d'Assisi. Costruzioni. Abbigliamento religioso. Figure: angeli. Insegne ecclesiastiche: pastorale; mitria.
morte di San Romoaldo
Madonna col Bambino fra i santi Lorenzo e Gervasio e trasporto del Volto Santo sullo sfondo
Personaggi: Madonna; GesÃ¹ Bambino; San Giorgio; San Giuseppe; San Giovanni Evangelista; San Sebastiano. Attributi: (San Giorgio) armatura; drago; libro; (San Giovanni Evangelista) piccola croce; (San Sebastiano) albero; frecce.
Madonna con Bambino e santi
Personaggi: Danae. Figure: fantessa; putti.
Personaggi: Sant'Ansano; San Gabriele arcangelo; Madonna; Santa Massima; Geremia; Ezechiele; Isaia; Daniele. Figure: cherubini. Abbigliamento: all'antica. Attributi: (Sant'Ansano) vessillo; palma. Attributi: (San Gabriele arcangelo) ramoscello d'ulivo; corona d'ulivo; gigli. Attributi: (Santa Giulitta) croce astile; palma. Oggetti: vaso; libro; sedia; drappeggio; cartigli. Simboli: (Spirito Santo) colomba.
Madonna con Bambino e santi
Adorazione dei Re Magi
Madonna con Bambino in trono e angeli
Soggetti profani. Ritratti. Figure maschili: uomo con capelli baffi e barba bianchi. Abbigliamento: cappa; cappello.
Soggetti sacri. Personaggi: Sant'Anna; Madonna; Bambino Gesù; Giovacchino. Figure femminili: ancelle. Abbigliamento: all'antica; contemporaneo. Interno. Architetture: pavimento marmoreo a riquadri; scalinata; soffitto a cassettoni; finestre; porte. Oggetti: cesti; letto; sedile; gioiello; tende; cuscino; coperte. Animali: cane. Vegetali: melagrana.
Soggetti profani. Ritratti. Personaggi: Bernardo Dovizi; mezza figura; seduto; di tre quarti a sinistra; mani. Abbigliamento: mozzetta con bottoni binati; cappuccio; maniche ampie; berretta clericale. Oggetti: anelli; lettera.
Soggetti profani. Personaggi: Cloto; Lachesi; Atropo. Abbigliamento: all'antica . Attributi: (Parche) forbici; fuso.
MARTIRIO DI SAN BARTOLOMEO
Soggetti profani. Paesaggi: bosco. Figure: Diogene filosofo.
Veduta di Napoli con Castel Sant'Elmo
madonna con bambino
Madonna con Bambino
guerriero in armatura recante uno scudo
RITRATTO DI CARLO FELICE DI SAVOIA
deposizione di Cristo nel sepolcro
"ritratto di donna, Ritratto della fidanzata a 14 anni"
"ritratto d'uomo, Giuseppe Spina"
ritratto di donna
santi
La Battaglia di Legnano
Morte di San Giuseppe
motivi decorativi a grottesche
Motivi decorativi geometrici e vegetali stilizzati
FIORI
battesimo di Cristo
Personaggi: Madonna; Gesù bambino.
Personaggi: San Giovanni Battista.
Annunciazione con angeli e committenti
adorazione dei Pastori
Figura astratta
Figura astratta
Soggetti sacri: Sant'Ambrogio assolve l'imperatore Teodosio.
Madonna con Bambino
Soggetti sacri: cena in casa di Simone il fariseo.
Soggetti sacri: nascita di Maria Vergine. Personaggi: Sant'Anna; Maria Verhine. Figure: donne.
Ritratto di pontefice
madonna con bambino
Paesaggi. Animali: pecore. Figure: fanciulla; pastore.
Madonna Addolorata
ritratto di ecclesiastico
Madonna con bambino
Ritratti: Giuseppe Asclepi. Abbigliamento religioso. Oggetti: fogli; libro; penna; sfera armillare; termometro; zucchetta. Mobilia: sedia; tavolo.
Personaggi: Giuseppe Garibaldi. Abbigliamento. Oggetti: clarino; anello.
Personaggi: beato Amedeo d Savoia. Figure: angeli; cherubini. Abbigliamento: abito; cappa di ermellino. Interno. Mobilia: tavolo. Elementi architettonici: colonna. Oggetti: spada; lapide; libro; Sindone.
Paesaggi: mare. Mezzi di trasporto: piroscafo. Fenomeni metereologici: tempesta.
testa d'uomo con barba
figura femminile con bambino in braccio
Paesaggio montano
motivi decorativi vegetali
motivi decorativi vegetali
motivi decorativi geometrici
motivi decorativi vegetali
Motivi decorativi vegetali
motivi decorativi vegetali
motivi decorativi vegetali
Motivi decorativi vegetali
motivi decorativi vegetali
motivi decorativi vegetali
Personaggi: santi.
personaggi: Madonna.
Personaggi: Madonna.
ritratto di donna
circoncisione di Gesù Bambino
circoncisione di Gesù Bambino
Circoncisione di Gesù Bambino
veduta di città
Santo Vescovo
Paesaggi.
Personaggi: Cristo; San Giovanni Battista; Dio Padre. Attributi: (San Giovanni Battista) ciotola battesimale. Figure: Angeli. Simboli: colomba dello Spirito Santo. Fiumi: Giordano.
Paesaggi. Figure.
TENTAZIONI DI SANT'ANTONIO ABATE
orazione di Cristo nell'orto di Getsemani
Orazione di Cristo nell'orto di Getsemani
Personaggi: Annibale di Saluzzo. Abbigliamento: abbigliamento militare.
ritratto dei figli di Tommaso di Savoia
ritratto di Annibale di Saluzzo
Madonna con Bambino e San Francesco
Personaggi: Madonna; Gesù Bambino; San Giovanni Battista.
Personaggi: Madonna; Ges˘ Bambino; San Giovannino. Attributi: (San Giovannino) vello di cammello. Paesaggi.
