Cos_min_trig,Cos_max_trig,Cos_min_bigr,Cos_max_bigr
0.09135434031486511,0.5045745372772217,0.023444950580596924,0.60038822889328
0.051622964441776276,0.5750518441200256,0.03237451985478401,0.6017683148384094
0.00596433412283659,0.42729949951171875,0.019391793757677078,0.38720738887786865
0.07421692460775375,0.3807697892189026,0.08217912167310715,0.3662858009338379
0.04866678640246391,0.29016950726509094,0.03890853375196457,0.27986976504325867
0.0033829633612185717,0.2943251132965088,0.06901171058416367,0.3879866600036621
0.03342675417661667,0.5165114402770996,0.013047724962234497,0.5646178722381592
0.16012519598007202,0.5217216610908508,0.14867214858531952,0.5185191631317139
-0.011961854062974453,0.4587654173374176,0.0076624988578259945,0.46161189675331116
-0.006915852427482605,0.3558485209941864,0.08490750193595886,0.3468306362628937
0.2361650913953781,0.49699920415878296,0.18715913593769073,0.43713757395744324
0.022335002198815346,0.44852954149246216,-0.023721296340227127,0.4827302098274231
0.05186407268047333,0.3967599868774414,0.033087510615587234,0.44135284423828125
0.1535780131816864,0.47428539395332336,0.17884209752082825,0.5133349895477295
0.1448875069618225,0.4429113268852234,-0.00262273196130991,0.4702090919017792
0.13034047186374664,0.358912855386734,0.08749742060899734,0.3487548530101776
0.06338371336460114,0.41913262009620667,0.06368552893400192,0.42869049310684204
0.060650721192359924,0.5880334973335266,-0.06877046078443527,0.5917087197303772
0.06679489463567734,0.395830899477005,0.035366855561733246,0.4219900667667389
-0.0056673758663237095,0.3022185266017914,-0.004241997841745615,0.3273530602455139
-0.06925226002931595,0.36951375007629395,-0.015962326899170876,0.42405378818511963
0.07996068894863129,0.5208672285079956,0.07191760838031769,0.5880776643753052
0.1816868633031845,0.3037387728691101,0.1479058712720871,0.3317437469959259
0.24567270278930664,0.48036226630210876,0.2672857344150543,0.5261500477790833
0.12064485996961594,0.4842858612537384,0.0778350830078125,0.49686551094055176
0.03704234957695007,0.4492281973361969,-0.017901498824357986,0.4420386552810669
-0.029070120304822922,0.3078649044036865,-0.028198549523949623,0.29774239659309387
0.001152041251771152,0.2916349470615387,0.06483466178178787,0.30216801166534424
0.10297629982233047,0.3117836117744446,0.07839082926511765,0.3224260210990906
0.03382611274719238,0.4196614623069763,0.049556419253349304,0.4284117817878723
0.1510322391986847,0.49691903591156006,0.18535490334033966,0.5306344032287598
0.06349650025367737,0.5274530053138733,0.10269570350646973,0.5527366995811462
0.07653310149908066,0.4028840661048889,0.035892799496650696,0.4425171911716461
0.030608223751187325,0.5224619507789612,0.03734507039189339,0.5547419190406799
0.08572744578123093,0.5433543920516968,0.08107056468725204,0.5724197626113892
0.017107879742980003,0.3995797038078308,0.03328859806060791,0.4102725386619568
0.016430752351880074,0.4107939898967743,-0.056216612458229065,0.4595644176006317
0.0926985964179039,0.4328981339931488,0.11716672778129578,0.46349337697029114
0.1473638266324997,0.5594218373298645,0.03885149955749512,0.5835593938827515
